Unnamed: 0,번호,제목,저자,출판사,출판일
,2,A Method for Communicating Knowledge from an Expert System to a Student-A Case Study,"Edman, A.;Lindman, A.;Sundling, L.",Univ,1993
,3,Practical Magic: Law's Hands-on AI Revolution,"Sherer,  James A.; Walters,  Ed",AMERICAN BAR ASSOCIATION,2018
,4,Artificial intelligence (AI) in medical devices and post-marketing machine learning,"Suzuki, T.",RINSHO HYOKA KANKOKAI INC,2020
,5,``Paradigms of AI Programming'' in Python,"Connelly, D.; Goel, A.K.","Menlo Park, CA; Cambridge, MA; London; AAAI Press; MIT Press; 1999",2013
,6,The Mineralization of Soil Nitrogen and Its Motivating Factors to the Dragon Spruce Forest and Alpine Meadows of the Qilian Mountains,"Wu, J.-g.; Chang, W.; Ai, L.",CHINESE ACADEMY OF FORESTRY,2008
,7,Study on Three Kinds of Browning Inhibitors in Reducing Freshcut Apples Browning,"Ai-li, J.",UNKNOWN,2010
,8,Data Science Data Governance [AI Ethics],"Kroll, Joshua A.",IEEE COMPUTER SOCIETY,2019
,9,Digital divide widens with AI,"Manos, Diana",SOURCE MEDIA INC.,2019
,10,"Beta, XR, AI, and Big Data Advance Food Packaging","Sand, Claire Koelsch",INSTITUTE OF FOOD TECHNOLOGISTS,2020
,11,Design for collective intelligence: pop-up communities in MOOCs,"Garreta-Domingo, M.; Sloep, P. B.; Hérnandez-Leo, D.; Mor, Y.",SPRINGER VERLAG KG,2018
,12,"Hepatotoxicity induced by the anti-oxidant food additive, butylated hydroxytoluene (BHT), in rats: An electron microscopical study","Safer, A. M.",HISTOLOGY AND HISTOPATHOLOGY,1999
,13,"Toward Human-Understandable, Explainable AI","Hagras, Hani",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2018
,14,Aqueous extract of Astragali Radix induces human natriuresis through enhancement of renal response to atrial natriuretic peptide,"Ai, P.; Yong, G.; Dingkun, G.; Qiuyu, Z.; Kaiyuan, Z.; Shanyan, L.","Elsevier Science B.V., Amsterdam.",2008
,15,A comparison of EMG and kinematic analysis between ground and treadmill runing for Chinese elite sprinter - Pu Fan Fang,"Li, W.; Gang, J.; Zheng, N.; Liu, Z.; Zhang, S.; Kai, K.; Ai, K.","China Institute of Sport Science,",2005
,16,Toward Real-Time Operational Model Predictions,"Detman, T. R.",ESA,1998
,17,Artificial Intelligence (AI) Ethics: Ethics of AI and Ethical AI,"Siau, Keng; Wang, Weiyu","Hershey, PA; Idea Group Publishing; 1999",2020
,18,Design and Modeling of a Magnetorheological Valve with Both Annular and Radial Flow Paths,"Ai, H. X.; Wang, D. H.; Liao, W. H.",TECHNOMIC PUBLISHING COMPANY INC,2006
,19,Novel AI-2 quorum sensing inhibitors in Vibrio harveyi identified through structure-based virtual screening,"Zhu, P.; Peng, H.; Ni, N.; Wang, B.; Li, M.","Elsevier Science B.V., Amsterdam.",2012
,20,Agent-based modeling under partial and full knowledge learning settings to simulate financial markets,"Neri, F.",IOS-INTERNATIONAL ORGANIZATIONS SERVICES BV,2012
,21,Enhanced mixing of intrinsic states in deformed Hf nuclei (14 pages),"McCutchan, E.A.; Casten, R.F.; Werner, V.; Williams, E.; Winkler, R.; Wolf, A.; Berant, Z.; Gurdal, G.; Qian, J.; Ai, H.",THE AMERICAN PHYSICAL SOCIETY,2008
,22,Leonardo’s choice: the ethics of artists working with genetic technologies,"Gigliotti, C.",SPRINGER VERLAG KG,2006
,23,Egoistic and altruistic motivation: How to induce users' willingness to help for imperfect AI,"Lee, Yeonjoo; Ha, Miyeon; Kwon, Sujeong; Shim, Yealin; Kim, Jinwoo","Elsevier Science B.V., Amsterdam.",2019
,24,A Learning Strategy Model for Worked-Out Examples,"Reimann, P.;Wichmann, S.;Schult, T. J.",Univ,1993
,25,Aspirin and salicylic acid decrease c-Myc expression in cancer cells: a potential role in chemoprevention,"Ai, G.; Dachineni, R.; Muley, P.; Tummala, H.; Bhat, G. J.",Springer Science + Business Media,2016
,26,Acceptance of WoredaNet E-Government Services in Ethiopia: Applying the UTAUT Model,"Lessa, L.; Negash, S.; Amoroso, D.L.",Red Hook; Curran,2011
,27,Effective Project Management for Software Development,"Jurison, J.",AIS,1998
,28,Brain AI: Deep Learning for Brain Stimulation,unknown,INSTITUTE OF ELECTRICAL AND ELECTRONICS ENGINEERS,2019
,29,"The More You Teach, the Less They Learn: Effects of Teaching Approaches on Learning Performance","Zhang, X.; Zhang, C.",Red Hook; Curran,2011
,30,Technology and Social Relationships as Knowledge Elements: An Insight into the Institutional and Non-Institutional Relationships,"Resca, A.",SPRINGER VERLAG KG,1999
,31,A Text Mining Application for Exploring the Voice of the Customer,"Botzenhardt, A.; Witt, A.; Maedche, A.",Red Hook; Curran,2011
,32,An Experiential Approach to Teaching and Learning Probability: Stat Lady,"Shute, V. J.;Gawlick-Grendell, L. A.",Univ,1993
,33,Teaching Algorithms Right From Wrong Data scientist Kristian Lum battles bias in AI and machine learning,unknown,MCGRAW-HILL,2018
,34,Collapse models of aluminum foam sandwiches under static three-point bending based on 3D geometrical reconstruction,"Zhu, X.; Ai, S.; Lu, X.; Cheng, K.; Ling, X.; Zhu, L.; Liu, B.","Elsevier Science B.V., Amsterdam.",2014
,35,COVER STORY Bona Fide Intelligence The state of play and road ahead for China's AI industry,unknown,BEIJING REVIEW,2018
,36,"AI and Machine Learning Techniques for Managing Complexity, Changes and Uncertainties in Manufacturing","Monostori, L.",Published for the International Federation of Automatic Control by Pergamon,2003
,37,Proof Planning: A Methodology for Developing AI Systems Incorporating Design Issues,"Lowe, H.",ACADEMIC PRESS,1994
,38,"Fintech Empowerment: Data Science, AI, and Machine Learning","Siau, Keng; Hilgers, Michael; Chen, Langtao; Liu, Steve; Nah, Fiona; Hall, Richard; Flachsbart, Barry",CUTTER CONSORTIUM,2018
,39,Taming the RHINo: Interorganizational Implementation Issues of Regional Health Information Networks,"Lassila, K. S.; Cheng, R. H.",AIS,1995
,40,Minor architecture: poetic and speculative architectures in public space,"Sha, X. W.",SPRINGER VERLAG KG,2011
,41,A Reinforcement Learning Method for Stock Market Prediction,"Lee, J. W.",CSREA Press,1999
,42,Q&A: The AI composer,"Spinney, L.",Nature Publishing Group,2017
,43,Opinions and attitudes toward humanoid robots in the Middle East,"Mavridis, N.; Katsaiti, M. S.; Naef, S.; Falasi, A.; Nuaimi, A.; Araifi, H.; Kitbi, A.",SPRINGER VERLAG KG,2012
,44,Artificial intelligence (AI) in blended learning,"Garner, B. J.; Tsui, E.; Lukose, D.","Elsevier Science B.V., Amsterdam.",2009
,45,Effect of grain refinement on the fluidity of some binary AI-Cu and Al-Mg alloys,"Dahle, A. K.",00,1996
,46,Can AI Help in Screening Viral and COVID-19 Pneumonia?,"Chowdhury, Muhammad E. H.; Rahman, Tawsifur; Khandakar, Amith; Mazhar, Rashid; Kadir, Muhammad Abdul; Mahbub, Zaid Bin; Islam, Khandakar Reajul; Khan, Muhammad Salman; Iqbal, Atif; Emadi, Nasser Al; Reaz, Mamun Bin Ibne; Islam, Mohammad Tariqul",IEEE,2020
,47,"Bulletin de la Société de l'Histoire du Protestantisme Français. Documents Historiques inédits et originaux, XVIe XVIIe et XVIIIe Siècles. Tomes I. -XIII. Paris: 1852-1864",UNKNOWN,A. Constable,1866
,48,Designing convivial digital cities: a social intelligence design approach,"Caire, P.",Springer,2009
,49,Reflective Tools to Analyse Students' Actions and Support Knowledge Acquisition,"Choquet, C.; Tchounikine, P.; Trichet, F.",IOS Press,1997
,50,"S-0082-00-AI Preparation and Characterization of M/TiO~2 (M=Ag, Au, Pt) Nanocomposite Thin Films","Yoon, J.-W.;Sasaki, T.;Koshizaki, N.;Traversa, E.",Pergamon,2000
,51,Enhancing social communication of children with high-functioning autism through a co-located interface,"Gal, E.; Bauminger, N.; Goren-Bar, D.; Pianesi, F.; Stock, O.; Zancanaro, M.; Weiss, P.L.",Springer,2009
,52,AI researchers embrace Bitcoin technology to share medical data,"Maxmen, A.",Nature Publishing Group,2018
,53,Harnessing CURATE.AI as a Digital Therapeutics Platform by Identifying N‐of‐1 Learning Trajectory Profiles,"Kee, Theodore; Weiyan, Chee; Blasiak, Agata; Wang, Peter; Chong, Jordan K.; Chen, Jonna; Yeo, B. T. Thomas; Ho, Dean; Asplund, Christopher L.",John Wiley & Sons Ltd,2019
,54,Bioequivalence of cefprozil tablets in healthy volunteers,"Meng, W.; Ai-ming, S.; Wen-yan, H.",CHINESE JOURNAL OF ANTIBIOTIOS,2010
,55,Editorial: Making Your AI Smarter: Continuous Learning Artificial Intelligence for Radiology,"McMillan, Alan B.",RADIOLOGICAL SOCIETY OF NORTH AMERICA,2020
,56,# Designing an AI Emotion-Based Adaptive Fuzzy System for Evaluation of the Computer Music,"Milicevic, M.",Institute of Electrical and Electronics Engineers,1999
,57,Brittle Removal Mechanism of Ductile Materials With Ultrahigh-Speed Machining,"Wang,  Bing; Liu,  Zhanqiang; Su,  Guosheng; Ai,  Xing",unknown,2015
,58,Analysis of earthquake management design for nuclear power plants (NPPs) incorporated with artificial intelligence (AI) method,"Woo, Tae Ho",Taylor & Francis,2019
,59,"Special Issue of the journal Artificial Intelligence on ""AI & Law""","Rissland, E. L.",ELSEVIER,2001
,60,Sentiment analysis on social campaign “Swachh Bharat Abhiyan” using unigram method,"Tayal, D. K.; Yadav, S. K.",SPRINGER VERLAG KG,2017
,61,"An Association between On-Farm AI and Abortion in A 3,600 Sow Herd","Heard, T. W.",PIG VETERINARY SOCIETY,1998
,62,Fifteenth International Conference on Artificial Intelligence and Law,"Atkinson,  Katie; Conrad,  Jack G.; Gardner,  Anne; Sichelman,  Ted",AAAI AMERICAN ASSOCIATION OF ARTIFICIAL,2016
,63,Realizing the Potential of the Internet of Things for Smart Tourism with 5G and AI,"Wang, Wei; Kumar, Neeraj; Chen, Junxin; Gong, Zhiguo; Kong, Xiangjie; Wei, Wei; Gao, Honghao",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2020
,64,AI in medicine on its way from knowledge-intensive to data-intensive systems,"Horn, W.",ELSEVIER,2001
,65,"Proposal and Evaluation of ""Selfish-Gene with Limited Allowance"" Type GA for Solving Constraint TSP","Onoyama, T.;Kubota, S.;Taniguchi, Y.;Tsuruta, S.",AAAI,2002
,66,Peer-to-Peer Lending: An Empirical Study,"Lin, M.",New York; Curran,2009
,67,Mapping Global Shipping Density from AIS Data,"Lin Wu, Yongjun Xu, Qi Wang, Fei Wang, Zhiwei Xu",Royal Institute of Navigation,2017
,68,Learning Effectiveness and Student Satisfaction in Mobile Classrooms,"Chen, W.; Balijepally, V.; Sutanto, P.","Atlanta, Ga.; Association for Information Systems",2008
,69,Fuzzy FMEA model for risk evaluation of ship collisions in the Malacca Strait: based on AIS data,"Zaman, M. B.; Kobayashi, E.; Wakabayashi, N.; Khanfir, S.; Pitana, T.; Maimun, A.",Palgrave Macmillan,2014
,70,Security conscious AI-planning-based composition of semantic web services,"Tabatabaei, S. G.; Dastjerdi, A. V.; Kadir, W. M.; Ibrahim, S.; Sarafian, E.",Emerald Group Publishing Limited,2010
,71,Collaborative Strategy Translation: A Critical Exploration,"Maghnouji, R.; Van Wijk, W.; De Vreede, G.-J.",AIS,1998
,72,Measuring Machine Intelligence Through Visual Question Answering,"Zitnick,  C. Lawrence; Agrawal,  Aishwarya; Antol,  Stanislaw; Mitchell,  Margaret; Batra,  Dhruv; Parikh,  Devi",AAAI AMERICAN ASSOCIATION OF ARTIFICIAL,2016
,73,"Preliminary Phase II Data Suggest That Entinostat (SNDX275), a Class 1 Selective Histone Deacetylase Inhibitor (HDACi), May Resensitize Breast Cancer Patients Progressing on Aromataste Inhibitor (AI) Therapy to Their AI Therapy","Wardley, A.M.; McCaffrey, J.; Crown, J.; Stein, R.; Malik, Z.; Rea, D.; Barrett-Lee, P.; Lee, G.",American Association for Cancer Research,2009
,74,"AI and Otherness in Science Fiction Films: A.I. Artificial Intelligence, CHAPPiE, Her, and Ex Machina","Mizobuchi, Kumiko",Japanese Society for Artificial Intelligence,2018
,75,Pretreatment fertility counseling and fertility preservation improve quality of life in reproductive age women with cancer,"Letourneau, J. M.; Ebbel, E. E.; Katz, P. P.; Katz, A.; Ai, W. Z.; Chien, A. J.; Melisko, M. E.; Cedars, M. I.; Rosen, M. P.","John Wiley & Sons, Ltd",2012
,76,"AI-based methodology of integrating affective design, engineering, and marketing for defining design specifications of new products","Kwong, C.K.; Jiang, Huimin; Luo, X.G.","Elsevier Science B.V., Amsterdam.",2016
,77,Prediction of 3-mouth glycemic control in type 2 diabetes mellitus based on machine learning algorithm,"Qin, Wei; Gao, Min; Shen, Ying; Shi, Yu-hui; Wu, Tao; Zhao, Ai; Sun, Xin-ying",Chinese Preventive Medicine Association,2019
,78,AI and Agents: State of the Art,"Alonso, E.",AAAI AMERICAN ASSOCIATION OF ARTIFICIAL,2002
,79,Construction of Cloud Infrastructure for AI and Big Data Processing — AIST AI Cloud (AAIC) and AI Bridging Cloud Infrastructure (ABCI) —,"Ogawa,  Hirotaka",unknown,2018
,80,CiteSeerX: AI in a Digital Library Search Engine,"Wu,  Jian; Williams,  Kyle; Chen,  Hung-Hsuan; Khabsa,  Madian; Caragea,  Cornelia; Tuarob,  Suppawong; Ororbia,  Alexander; Jordan,  Douglas; Mitra,  Prasenjit; Giles,  C. Lee",AAAI AMERICAN ASSOCIATION OF ARTIFICIAL,2015
,81,Assembling Learning Objects for Personalized Learning: An AI Planning Perspective,"Garrido, A.; Onaindia, E.",COMPUTER SOCIETY,2013
,82,Magnetic-Field-Based Position Sensing Using Machine Learning,"Sasaki, Ai-ichiro; Ohta, Eisuke",IEEE,2020
,83,"AI, LABOR, PRODUCTIVITY AND THE NEED FOR FIRM-LEVEL DATA","Seamans,  Robert; Raj,  Manav",NATIONAL BUREAU OF ECONOMIC RESEARCH INC,2018
,84,Influence of the hard-to-soft segment ratio on the adhesion of water-borne polyurethane adhesive,"Perez-Liminana, M. A.; Aran-Ais, F.; Torro-Palau, A. M.; Orgiles-Barcel, C.; Martin-Martinez, J. M.",VSP,2007
,85,AI-Powered Cybersecurity: The Need of the Hour,"Lal, Prerna",CUTTER CONSORTIUM,2019
,86,AI AS THE NEXT GPT: A POLITICAL-ECONOMY PERSPECTIVE,"Trajtenberg,  Manuel",NATIONAL BUREAU OF ECONOMIC RESEARCH INC,2018
,87,AI in Education: Learner Choice and Fundamental Rights,"Berendt, Bettina;Littlejohn, Allison;Blakemore, Mike",Routledge,2020
,88,Composite resin reinforced with silver nanoparticles–laden hydroxyapatite nanowires for dental application,"Ai, Miao; Du, Zhiyun; Zhu, Siqi; Geng, Hongjuan; Zhang, Xu; Cai, Qing; Yang, Xiaoping","Elsevier Science B.V., Amsterdam.",2017
,89,Teaching Case-Based Argumentation through a Model and Examples Empirical Evaluation of an Intelligent Learning Environment,"Aleven, V.; Ashley, K. D.",IOS Press,1997
,90,AI is dead; long live AI,"Vaux, J.",LEARNED INFORMATION,1994
,91,The Challenge of Integrating AI &amp; Smart Technology in Design Education,"McCardle, J. R.",KLUWER ACADEMIC PUBLISHERS,2002
,92,The Use of Artificial Intelligence (AI) Machine Learning to Determine Myocyte Damage in Cardiac Transplant Acute Cellular Rejection,"Glass, C.; Davis, R.; Xiong, B.; Dov, D.; Glass, M.","Elsevier Science B.V., Amsterdam.",2020
,93,"Smart-Edge-CoCaCo: AI-Enabled Smart Edge with Joint Computation, Caching, and Communication in Heterogeneous IoT","Hao, Yixue; Miao, Yiming; Hu, Long; Hossain, M. Shamim; Muhammad, Ghulam; Amin, Syed Umar",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2019
,94,"Social Media, Social Capital, and Seniors: The Impact of Facebook on Bonding and Bridging Social Capital of Individuals Over 65","Erickson, L.B.",Red Hook; Curran,2011
,95,AI AND JOBS: THE ROLE OF DEMAND,"Bessen,  James",NATIONAL BUREAU OF ECONOMIC RESEARCH INC,2018
,96,"If You Like Radiohead, You Might Like This Article","Celma, O.; Lamere, P.",AAAI AMERICAN ASSOCIATION OF ARTIFICIAL,2011
,97,"IBM Watson, heal thyself: How IBM overpromised and underdelivered on AI health care","Strickland, Eliza",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2019
,98,PREDICTING MCI-TO-AD CONVERSION USING NEUROIMAGING CLASSIFIER WITH ARTIFICIAL INTELLIGENCE (AI),"Wang, Lanbo; Han, Liang; Wang, Jianli; Lu, Jiaming; Zhang, Bing; Zhu, Bin; Miller, David J.; Eslinger, Paul J.; Chai, Junjie; Pu, Xiujuan; Yang, Qing X.",ELSEVIER SCIENCE B.V. AMSTERDAM,2018
,99,Artificial Innate Immune System: An Instant Defence Layer of Embryonics,"Zhang, X.; Dragffy, G.; Pipe, A. G.; Zhu, Q. M.",Berlin; London; Springer,2004
,100,Airbus AI-PX7 CROR Design Features and Aerodynamics,"Negulescu, C.A.","Warrendale, Pa.; SAE",2013
,1,Introduction to this special section: Machine learning and AI,"Brusova, O.; Corzo, M.; Pyrcz, M. J.",Society of Exploration Geophysicists; 1999,2020
,2,Learning from Artificial Intelligence's Previous Awakenings: The History of Expert Systems,"Brock, David C.",AAAI AMERICAN ASSOCIATION OF ARTIFICIAL,2018
,3,Pedicle screw instrumentation in adolescent idiopathic scoliosis (AIS),"Suk, S. I.; Kim, J. H.; Kim, S. S.; Lim, D. J.",Springer Science + Business Media,2012
,4,"Visual Semiotics, Human Emotions and Neurotransmitters","Bindu, M. H.","Athens:; CSREA Press,",2004
,5,Time.deltaTime: the vicissitudes of presence in visualizing Roman houses with game engine technology,"Fredrick, D.",SPRINGER VERLAG KG,2014
,6,Real-time elastography with a novel quantitative technology for assessment of liver fibrosis in chronic hepatitis B,"Wang, J.; Guo, L.; Shi, X.; Pan, W.; Bai, Y.; Ai, H.","Elsevier Science B.V., Amsterdam.",2012
,7,Deep Learning Goes to School: Toward a Relational Understanding of AI in Education,"Perrotta, Carlo;Selwyn, Neil",Routledge,2020
,8,OP15.04: Novel AI‐guided ultrasound screening system for fetal heart can demonstrate findings in timeline diagram,"Komatsu, R.; Matsuoka, R.; Arakaki, T.; Tokunaka, M.; Komatsu, M.; Sakai, A.; Yasutomi, S.; Hamamoto, R.; Sekizawa, A.","John Wiley & Sons, Ltd",2019
,9,Consumers' Repurchase Behavior in Online Marketplace: A Belief Updating Perspective,"Liu, Y.; Yang, L.Y.; Wei, K.K.; Chen, H.",New York; Curran,2009
,10,Thermal rectification in thickness-asymmetric graphene nanoribbons (3 pages),"Zhong, W.-R.; Huang, W.-H.; Deng, X.-R.; Ai, B.-Q.",AMERICAN INSTITUTE OF PHYSICS,2011
,11,"David J. Gunkel: The machine question: critical perspectives on AI, robots, and ethics","Coeckelbergh, M.",Springer Science + Business Media,2013
,12,Superhuman AI for multiplayer poker,"Brown, N.; Sandholm, T.",AMERICAN ASSOCIATION FOR THE ADVANCEMENT OF SCIENCE,2019
,13,Application of trans-polyisoprene alloys in hump strip stocks of passenger car tire,"Wang,  Hao; Cui,  Hong-hong; Wang,  Ri-guo; Xu,  Xin-jian; He,  Ai-hua",Lanzhou Petrochemical Company,2017
,14,AI in Manufacturing: State of the Art,"Regli, W. C.",ACADEMIC PRESS,2000
,15,A Research Agenda for AI and Education,"Greer, J.",unknown,1994
,16,A KIND OF TRUE LIVING: THE ART OF AI WEIWEI,"Tinari, P.",ARTFORUM,2007
,17,The Application of AI to Automatically Generated Animation,"Szarowicz, A.; Amiguet-Vercher, J.; Forte, P.; Briggs, J.; Gelepithis, P.; Remagnino, P.",UNKNOWN,2001
,18,労働者の能力·適性評価と雇用終了法理 : AI時代の到来に際して (シンポジウム 雇用社会の変容と労働契約終了の法理)=Employee Competence and Performance Assessment in Relation to Termination of Employment : A New Approach to the Challenges Faced in the Era of AI,襲 敏,日本勞動法學會,2018
,19,Artificial intelligence and the future of work: Human-AI symbiosis in organizational decision making,"Jarrahi, Mohammad Hossein","Elsevier Science B.V., Amsterdam.",2018
,20,Collaborative Filtering towards Distributed Work/Learning Environment,"Miyahara, K.; Okamoto, T.",IOS Press,1997
,21,An Object-Oriented Plant Growth Modeling Support System Based Upon Cumulation of Environments,"Hoshi, T.; Fuse, J.",Elsevier,1995
,22,IoT・AI 技術を活用した空調最適制御への取り組み,倉田昌典,日本工業出版,2018
,23,"Special Issue of the journal Artificial Intelligence on ""AI & Law""","Rissland, E. L.",ELSEVIER,2001
,24,Food for thought: AI Artificial intelligence - turning the fiction into fact,unknown,QUALITY SOCIETY OF AUSTRALIAN QUALITY COUNCIL,2001
,25,"AI and Big Data: A blueprint for a human rights, social and ethical impact assessment","Mantelero, Alessandro","Elsevier Science B.V., Amsterdam",2018
,26,Most Significant Bits Arm machine-learning core scales up; Huawei Ascends in AI accelerators; Xilinx enters Smart-NIC market,unknown,MICRODESIGN RESOURCES,2019
,27,S-0215-00-AI Fabrication of Bulk Nanostructured Materials from Metallic Nanopowders: Structure and Mechanical Behaviour,"Champion, Y.;Guerin-Mailly, S.;Bonnentien, J.-L.;Langlois, P.",Pergamon,2000
,28,Teaching “New AI”,Rolf Pfeifer ;Deepak Kumar,"Special Interest Group on Artificial Intelligence, Association for Computing Machinery",2000
,29,AI and Medical Image Matching/Fusion: A Tree Search,"Vajdic, S. M.; Katz, H. E.; Downing, A. R.; Brooks, M. J.",IITT International,1994
,30,Modelling an Academic Curriculum Plan as a Mixed-Initiative Constraint Satisfaction Problem,"Wu, K.; Havens, W. S.",Berlin; London; Springer,2005
,31,"Current Situation and Future Prospect of IoT, Big Data and AI for Industrial Applications",Shigenori YUYAMA; Tomoki SHIOTANI,日本非破壞檢査協會,2018
,32,Culture and AI — Designing Media of Cultural Context with Ecological Information —,"Takahashi,  Toru",JAPANESE SOC ARTIFICIAL INTELL,2017
,33,China's Last Communist: Ai Weiwei,"Sorace, C.",UNIVERSITY OF CHICAGO PRESS,2014
,34,"Facebook's Mr AI Common sense will be key to artificial intelligence, says Yann LeCun",unknown,IPC MAGAZINES LTD,2015
,35,There is a blind spot in AI research,"Crawford, K.; Calo, R.",Nature Publishing Group,2016
,36,S-0070-00-AI Synthesis and Characterization of Ropes Made of BN Multiwalled Nanotubes,"Golberg, D.;Bando, Y.;Kurashima, K.;Sato, T.",Pergamon,2000
,37,AI-Techniques and the Knowledge Pump,"Van Heijst, G.;Hofman, M.;Kruizinga, E.;Van der Spek, R.",AAAI,1997
,38,An AI Framework to Teach English as a Foreign Language: CSIEC,"Jia, J.",AAAI AMERICAN ASSOCIATION OF ARTIFICIAL,2009
,39,Fluorescence quenching of water-soluble conjugated polymer by metal cations and its application in sensor,"Chen, Y. G.; Zhao, D.; He, Z. K.; Ai, X. P.","Elsevier Science B.V., Amsterdam.",2007
,40,Identifying polymorphism in enamelin gene in amelogenesis imperfecta (AI),"Gopinath, V. K.; Yoong, T. P.; Yean, C. Y.; Ravichandran, M.","Elsevier Science B.V., Amsterdam.",2008
,41,Effect of Dielectric Barrier Discharge Cold Plasma on Pea Seed Growth,"Gao, Xiaoting; Zhang, Ai; Héroux, Paul; Sand, Wolfgang; Sun, Zhuyu; Zhan, Jiaxun; Wang, Cihao; Hao, Siyu; Li, Zhenyu; Li, Zhenying",ACS AMERICAN CHEMICAL SOCIETY,2019
,42,LiF/Fe nanocomposite as a lithium-rich and high capacity conversion cathode material for Li-ion batteries,"Li, T.; Chen, Z. X.; Ai, X. P.; Cao, Y. L.; Yang, H. X.","Elsevier Science B.V., Amsterdam.",2012
,43,"Effects of Ai-Chi on balance, functional mobility, strength and fatigue in patients with multiple sclerosis: A pilot study","Bayraktar, D.; Guclu-Gunduz, A.; Yazici, G.; Lambeck, J.; Batur-Caglayan, H.Z.; Irkec, C.; Nazliel, B.",IOS Press. Amsterdam,2013
,44,AI vs HR,unknown,PERSONNEL PUBLICATIONS LTD,2017
,45,Toward Non-Algorithmic AI,"Bringsjord, S.",Springer-Verlag,1992
,46,Application de programmes de bon usage des antibiotiques dans les services de réanimation français en 2018 : enquête nationale multicentrique,"Delannoy, M.; Agrinier, N.; Charmillon, A.; Dellamonica, J.; Degand, N.; Leone, M.; Pulcini, C.; Novy, E.",Societe de Pathologie Infectieuse de Langue Francaise; 1999,2019
,47,Synthesis and properties of a new type of unsaturated poly(ester amide),"Ai, Y. P.; Jiang, F.; Xie, S. K.; Yi, R. X.","John Wiley & Sons, Ltd",2009
,48,The Role of AI Theory in Developing New Highly Effective Methods of Foreign Languages Teaching,Fomichov; Fomichova,Moray House Institute of Education,1993
,49,Evaluations of AI‐based malicious PowerShell detection with feature optimizations,"Song, Jihyeon; Kim, Jungtae; Choi, Sunoh; Kim, Jonghyun; Kim, Ikkyun",ELECTRONICS AND TELECOMMUNICATIONS RESEARCH,2021
,50,Multi-Cue-Based Face and Facial Feature Detection on Video Segments,"Peng, Z.; Ai, H.; Wei, H.; Liang, L.; Xu, G.",ALLERTON PRESS INC,2003
,51,"""Situated AI"" in Video Games: Integrating NLP, Path Planning, and 3D Animation","Cavazza, M.;Bandi, S.;Palmer, I.",AAAI,1999
,52,"Social disconnectedness, perceived isolation, and symptoms of depression and anxiety among older Americans (NSHAP): a longitudinal mediation analysis","Santini, Ziggi Ivan; Jose, Paul E; York Cornwell, Erin; Koyanagi, Ai; Nielsen, Line; Hinrichsen, Carsten; Meilstrup, Charlotte; Madsen, Katrine R; Koushede, Vibeke","Elsevier Science B.V., Amsterdam",2020
,53,Social Learning Environments: New Challenges for AI in Education,"Vassileva, J.",SPRINGER-VERLAG,2008
,54,Study of the synthesis and bonding properties of reactive hot-melt polyurethane adhesive,"Tang, Q.; He, J.; Yang, R.; Ai, Q.","John Wiley & Sons, Ltd",2013
,55,BMP-2 can promote the osteogenic differentiation of human endometrial stem cells,"Ai, J.; Azizi, E.; Shamsian, A.; Eslami, A.; Khoshzaban, A.; Ebrahimi-Barough, S.; Ai, A.; Alizadeh, A.","FACULTY OF MEDICINE, CHULALONGKORN UNIVERSITY.",2014
,56,Research on technology of AI Applying to CAI,"Wan, M.",Weijisuanji Xinxi Zazhishe,2006
,57,"Big Data, AI, and the 2651 Modernization","Adams, Brett A.",unknown,2019
,58,THE WRONG KIND OF AI? ARTIFICIAL INTELLIGENCE AND THE FUTURE OF LABOR DEMAND,"Acemoglu, Daron; Restrepo, Pascual",NATIONAL BUREAU OF ECONOMIC RESEARCH INC,2019
,59,Will There Be Superintelligence and Would It Hate Us?,"Wilks,  Yorick",AAAI AMERICAN ASSOCIATION OF ARTIFICIAL,2017
,60,IADC/SPE 155837 Comprehensive &amp; Associated Drilling Technology for Ultra-deep Well Jida 4,"Yu, Z.; Wang, W.; An, C.; Lv, X.; Zhang, Z.; Ai, G.; Wang, Z.",New York; Curran,2012
,61,The effect of the location for the display on a group work in ict-enhanced learning environments A study on developing the environment for pbl (part2),"Kakei, Hidekazu; Hanada, Ai",unknown,2018
,62,Aquatic Physical Therapy: AI-CHI in Patients with Parkinson's Disease,"Queiroz, D. R.; Oliani, D.; Dos Santos, L. C.; Hunger, R. F. W.; Israel, V. L.","Bologna:; Medimond,",2005
,63,Ai Weiwei’s Fairytale: a unique social engagement,"Zhou, Yanhua",Taylor & Francis,2017
,64,AI and Economics [Guest editors' introduction],"Michalak, T. P.; Wooldridge, M.",COMPUTER SOCIETY,2017
,65,A Computer-Based Language Learning Tool for the Handicapped,"Calder, D. J.",IEEE Computer Society Press,1993
,66,Kernel functions embedded in support vector machine learning models for rapid water pollution assessment via near-infrared spectroscopy,"Chen, Huazhou; Xu, Lili; Ai, Wu; Lin, Bin; Feng, Quanxi; Cai, Ken","Elsevier Science B.V., Amsterdam.",2020
,67,The Role of HCI in the Age of AI,"Harper, Richard H. R.",Taylor & Francis,2019
